02bb	ADC_CHAN2_HI
02bc	ADC_CHAN3_HI
02bd	ADC_CHAN4_HI
02be	ADC_CHAN_FLAG
02bf	EVENT_ENABLE
02c9	SOFTKEY_EX_PTR
02ca	KEY_REPEAT_CNT
02cb	KEY_ROLLOVER_1
02cd	KEY_ROLLOVER_2
02ce	SOUND_SEMAPHORE
02cf	BUFFER_0_BUSY
02d0	BUFFER_1_BUSY
02d1	BUFFER_2_BUSY
02d2	BUFFER_3_BUSY
02d3	BUFFER_4_BUSY
02d4	BUFFER_5_BUSY
02d5	BUFFER_6_BUSY
02d6	BUFFER_7_BUSY
02d7	BUFFER_8_BUSY
02d8	BUFFER_0_OUT
02d9	BUFFER_1_OUT
02da	BUFFER_2_OUT
02db	BUFFER_3_OUT
02dc	BUFFER_4_OUT
02dd	BUFFER_5_OUT
02de	BUFFER_6_OUT
02df	BUFFER_7_OUT
02e0	BUFFER_8_OUT
02e1	BUFFER_0_IN
02e2	BUFFER_1_IN
02e3	BUFFER_2_IN
02e4	BUFFER_3_IN
02e5	BUFFER_4_IN
02e6	BUFFER_5_IN
02e7	BUFFER_6_IN
02e8	BUFFER_7_IN
02e9	BUFFER_8_IN
02ea	CFS_BLOCK_SZ
02eb	CFS_BLOCK_SZ_HI
02ec	CFS_BLOCK_FLAG
02ed	CFS_LAST_INPUT
02ee	OSFILE_CB
02ef	OSFILE_CB_1
02f0	OSFILE_CB_2
02f1	OSFILE_CB_3
02f2	OSFILE_CB_4
02f3	OSFILE_CB_5
02f4	OSFILE_CB_6
02f5	OSFILE_CB_7
02f6	OSFILE_CB_8
02f7	OSFILE_CB_9
02f8	OSFILE_CB_10
02f9	OSFILE_CB_11
02fa	OSFILE_CB_12
02fb	OSFILE_CB_13
02fc	OSFILE_CB_14
02fd	OSFILE_CB_15
02fe	OSFILE_CB_16
02ff	OSFILE_CB_17
0300	VDU_G_WIN_L
0301	VDU_G_WIN_L_HI
0302	VDU_G_WIN_B
0303	VDU_G_WIN_B_HI
0304	VDU_G_WIN_R
0305	VDU_G_WIN_R_HI
0306	VDU_G_WIN_T
0307	VDU_G_WIN_T_HI
0308	VDU_T_WIN_L
0309	VDU_T_WIN_B
030a	VDU_T_WIN_R
030b	VDU_T_WIN_T
030c	VDU_G_ORG_XX
030d	VDU_G_ORG_XX_HI
030e	VDU_G_ORG_YX
030f	VDU_G_ORG_YX_HI
0310	VDU_G_CUR_XX
0311	VDU_G_CUR_XX_HI
0312	VDU_G_CUR_YX
0313	VDU_G_CUR_YX_HI
0318	VDU_T_CURS_X
0319	VDU_T_CURS_Y
031a	VDU_G_CURS_SCAN
031b	VDU_QUEUE
031c	VDU_QUEUE_1
031d	VDU_QUEUE_2
031e	VDU_QUEUE_3
031f	VDU_QUEUE_4
0320	VDU_QUEUE_5
0321	VDU_QUEUE_6
0322	VDU_QUEUE_7
0323	VDU_QUEUE_8
0324	VDU_G_CURS_H
0325	VDU_G_CURS_H_HI
0326	VDU_G_CURS_V
0327	VDU_G_CURS_V_HI
0328	VDU_BITMAP_READ
0329	VDU_BITMAP_RD_1
032a	VDU_BITMAP_RD_2
032b	VDU_BITMAP_RD_3
032c	VDU_BITMAP_RD_4
032d	VDU_BITMAP_RD_5
032e	VDU_BITMAP_RD_6
032f	VDU_BITMAP_RD_7
0330	VDU_WORKSPACE
034a	VDU_CRTC_CUR
034b	VDU_CRTC_CUR_HI
034c	VDU_T_WIN_SZ
034d	VDU_T_WIN_SZ_HI
034e	VDU_PAGE
034f	VDU_BPC
0350	VDU_MEM
0351	VDU_MEM_HI
0352	VDU_BPR
0353	VDU_BPR_HI
0354	VDU_MEM_PAGES
0355	VDU_MODE
0356	VDU_MAP_TYPE
0357	VDU_T_FG
0358	VDU_T_BG
0359	VDU_G_FG
035a	VDU_G_BG
035b	VDU_P_FG
035c	VDU_P_BG
035d	VDU_JUMPVEC
035e	VDU_JUMPVEC_HI
035f	VDU_CURS_PREV
0360	VDU_COL_MASK
0361	VDU_PIX_BYTE
0362	VDU_MASK_RIGHT
0363	VDU_MASK_LEFT
0364	VDU_TI_CURS_X
0365	VDU_TI_CURS_Y
0366	VDU_TTX_CURSOR
0367	VDU_FONT_FLAGS
0368	VDU_FONTLOC_20
0369	VDU_FONTLOC_40
036a	VDU_FONTLOC_60
036b	VDU_FONTLOC_80
036c	VDU_FONTLOC_A0
036d	VDU_FONTLOC_B0
036e	VDU_FONTLOC_C0
036f	VDU_PALETTE
0380	BPUT_FILENAME
038c	BPUT_LOAD_LO
038d	BPUT_LOAD_HI
038e	BPUT_LOAD_VHI
038f	BPUT_LOAD_XHI
0390	BPUT_EXEC_LO
0391	BPUT_EXEC_HI
0392	BPUT_EXEC_VHI
0393	BPUT_EXEC_XHI
0394	BPUT_BLK_NUM
0395	BPUT_BLK_NUM_HI
0396	BPUT_BLK_LEN
0397	BPUT_BLK_LEN_HI
0398	BPUT_BLK_FLAG
0399	BPUT_RFS_LO
039a	BPUT_RFS_HI
039b	BPUT_RFS_VHI
039c	BPUT_RFS_XHI
039d	CFS_BPUT_OFFSET
039e	CFS_BGET_OFFSET
03a7	CFS_BGET_FILE
03b2	CFS_FILENAME
03be	CFS_LOAD_LO
03bf	CFS_LOAD_HI
03c0	CFS_LOAD_VHI
03c1	CFS_LOAD_XHI
03c2	CFS_EXEC_LO
03c3	CFS_EXEC_HI
03c4	CFS_EXEC_VHI
03c5	CFS_EXEC_XHI
03c6	CFS_BLK_NUM
03c7	CFS_BLK_NUM_HI
03c8	CFS_BLK_LEN
03c9	CFS_BLK_LEN_HI
03ca	CFS_BLK_FLAG
03cb	CFS_RFS_LO
03cc	CFS_RFS_HI
03cd	CFS_RFS_VHI
03ce	CFS_RFS_XHI
03cf	CFS_CRC
03d0	CFS_CRC_HI
03d1	SEQ_BLOCK_GAP
03d2	CFS_FIND_NAME
03dd	CFS_BLK_GET
03de	CFS_BLK_GET_HI
03df	CFS_LAST_FLAGS
03e0	BUFFER_KEYBOARD
0400	TUBE_ENTRY
0403	TUBE_ENTRY_1
0406	TUBE_ENTRY_2
0800	SOUND_WORKSPACE
0804	SOUND_QUEUE
0808	SOUND_AMPLITUDE
080c	SOUND_AMP_PHASES
0810	SOUND_PITCH
0814	SOUND_PITCH_PHASES
0818	SOUND_STEPS
081c	SOUND_DURATION
0820	SOUND_INTERVAL_MUL
0824	SOUND_ENV_REPEAT
0828	SOUND_NOTE_REMAIN
082c	SOUND_SYNC_HOLD_PARAM
0830	SOUND_PITCH_SETTING
0834	SOUND_PITCH_DEV
0838	SOUND_SYNC_CHANS
0839	SOUND_AMP_STEP
083a	SOUND_AMP_TARGET
083b	SOUND_SYNC_HOLD_COUNT
083c	SOUND_WS_0
083d	SOUND_FREQ_LO
083e	SOUND_FREQ_HI
083f	SOUND_WS_3
0840	BUFFER_SOUND_0
0850	BUFFER_SOUND_1
0860	BUFFER_SOUND_2
0870	BUFFER_SOUND_3
0880	BUFFER_PRINTER
08c0	ENV_STEP
08c1	ENV_PI1
08c2	ENV_PI2
